.,,,,,,,,,,,,,,Augur,prediction
,,,,,,,,,,,,,,disdain,mock
,,,,,,,,,,,,,,disparage,mock
,,,,,,,,,,,,,,jeer,mock
,,,,,,,,,,,,,,lampoon,mock
,,,,,,,,,,,,,,patronize,mock
,,,,,,,,,,,,,,raillery,mock+
,,,,,,,,,,,,,,sarcastic,mock
,,,,,,,,,,,,,,sardonic,mock
,,,,,,,,,,,,,,satire,mock
,,,,,,,,,,,,,,scoff,mock
,,,,,,,,,,,,,,scorn,mock
,,,,,,,,,,,,,,sneer,mock
,,,,,,,,,,,,,,snicker,mock
,,,,,,,,,,,,,,snide,mock
,,,,,,,,,,,,,,spurn,mock
,,,,,,,,,,,,,,taunt,mock
,,,,,,,,,,,,,,acclaim,praise
,,,,,,,,,,,,,,accolade,praise
,,,,,,,,,,,,,,approbation,praise
,,,,,,,,,,,,,,commendable,praise
,,,,,,,,,,,,,,econmisastoc,praise
,,,,,,,,,,,,,,eulogy,praise
,,,,,,,,,,,,,,exalt,praise
,,,,,,,,,,,,,,extol,praise
,,,,,,,,,,,,,,glorify,praise
,,,,,,,,,,,,,,hail,praise
,,,,,,,,,,,,,,laud,praise
,,,,,,,,,,,,,,lionize,praise
,,,,,,,,,,,,,,plaudit,praise
,,,,,,,,,,,,,,accentuate,emphasize
,,,,,,,,,,,,,,foreground,emphasize
,,,,,,,,,,,,,,underscore,emphasize
,,,,,,,,,,,,,,analogy,similarity
,,,,,,,,,,,,,,antithetical,disimilarity
,,,,,,,,,,,,,,coalesce,comingtogether
,,,,,,,,,,,,,,rally,comingtogether
,,,,,,,,,,,,,,commensurate,equal
,,,,,,,,,,,,,,parity,equal
,,,,,,,,,,,,,,peers,equal
,,,,,,,,,,,,,,tantamount,equal
,,,,,,,,,,,,,,disparate,unequal
,,,,,,,,,,,,,,accord,harmony
,,,,,,,,,,,,,,concord,harmony
,,,,,,,,,,,,,,conformity,harmony
,,,,,,,,,,,,,,congruous,harmony
,,,,,,,,,,,,,,consonance,harmony
,,,,,,,,,,,,,,discord,disagreement
,,,,,,,,,,,,,,discrepancy,disagreement
,,,,,,,,,,,,,,dissonance,disagreement
,,,,,,,,,,,,,,faction,disagreement
,,,,,,,,,,,,,,incompatible,disagreement
,,,,,,,,,,,,,,irreconcilable,disagreement
,,,,,,,,,,,,,,chasm,gap
,,,,,,,,,,,,,,dicotomy,gap
,,,,,,,,,,,,,,gulf,gap
,,,,,,,,,,,,,,rift,gap
,,,,,,,,,,,,,,schism,gap
,,,,,,,,,,,,,,bellicose,aggressive
,,,,,,,,,,,,,,belligerent,aggressive
,,,,,,,,,,,,,,contentious,aggressive
,,,,,,,,,,,,,,disputatious,aggressive
,,,,,,,,,,,,,,fractious,aggressive
,,,,,,,,,,,,,,hostility,aggressive
,,,,,,,,,,,,,,litigious,aggressive
,,,,,,,,,,,,,,polemical,aggressive
,,,,,,,,,,,,,,pugnacious,aggressive
,,,,,,,,,,,,,,trulucent,aggressive
,,,,,,,,,,,,,,altercations,fight
,,,,,,,,,,,,,,bicker,fight
,,,,,,,,,,,,,,brawl,fight
,,,,,,,,,,,,,,combat,fight
,,,,,,,,,,,,,,contend,fight
,,,,,,,,,,,,,,row,fight
,,,,,,,,,,,,,,scuffle,fight
,,,,,,,,,,,,,,sqabble,fight
,,,,,,,,,,,,,,tiff,fight
,,,,,,,,,,,,,,tussle,fight
,,,,,,,,,,,,,,truce,draw
,,,,,,,,,,,,,,astound,confuse
,,,,,,,,,,,,,,baffle,confuse
,,,,,,,,,,,,,,befuddle,confuse
,,,,,,,,,,,,,,bemuse,confuse
,,,,,,,,,,,,,,bewilder,confuse
,,,,,,,,,,,,,,confound,confuse
,,,,,,,,,,,,,,flabbergasted,confuse
,,,,,,,,,,,,,,foxed,confuse
,,,,,,,,,,,,,,nonplussed,confuse
,,,,,,,,,,,,,,obsfucate,confuse
,,,,,,,,,,,,,,perplex,confuse
,,,,,,,,,,,,,,stupefy,confuse
,,,,,,,,,,,,,,adulation,eflattery-
,,,,,,,,,,,,,,fawn,eflattery-
,,,,,,,,,,,,,,fulsome,eflattery-
,,,,,,,,,,,,,,obsequios,eflattery-
,,,,,,,,,,,,,,sycophant,eflattery-
,,,,,,,,,,,,,,deprecatory,insultingword
,,,,,,,,,,,,,,derogatory,insultingword
,,,,,,,,,,,,,,pejorative,insultingword
,,,,,,,,,,,,,,aplomb,calm
,,,,,,,,,,,,,,composure,calm
,,,,,,,,,,,,,,equanimity,calm
,,,,,,,,,,,,,,impassive,calm
,,,,,,,,,,,,,,imperturable,calm
,,,,,,,,,,,,,,nonchalant,calm
,,,,,,,,,,,,,,phlegmatic,calm
,,,,,,,,,,,,,,placid,calm
,,,,,,,,,,,,,,serene,calm
